Project,Client,Title,Duration
SOS1920-04,,#1 Hacer el L02,00:00:20
SOS1920-04,,#10 Realizar API REST,02:04:27
SOS1920-04,,#12 Repaso codigo,01:05:13
SOS1920-04,,#14 Hacer llamadas a las collecciones de POSTMAN,03:02:03
SOS1920-04,,#15 Hacer que heroku se actualice automáticamente con GitHub,03:02:20
SOS1920-04,,#4 Haber desplegado el proyecto del grupo en Heroku.,01:06:42
SOS1920-04,,#5 Leer noticias de Piazza,00:04:38
SOS1920-04,,#6 Instalar POSTMAN,00:11:19
SOS1920-04,,#7 Sincronizar repositorio del grupo,00:46:20
SOS1920-04,,#8 Tener un conjunto de pruebas de postman,02:09:33
SOS1920-04,,#9 Publicar como documentación de la API la colección desarrollada sobre el entorno de HEROKU,02:06:26
SOS1920-04,,API externa y proxy,01:25:00
SOS1920-04,,Añadir issues,00:25:17
SOS1920-04,,Backlog en grupo 26/03,02:09:31
SOS1920-04,,Backlog postman,01:09:44
SOS1920-04,,Backlog y nedb,03:09:46
SOS1920-04,,Buscar e implementar integraciones,11:50:00
SOS1920-04,,Busqueda de roads,03:05:00
SOS1920-04,,Búsquedas y errores,03:07:00
SOS1920-04,,Cerrar issues,00:01:09
SOS1920-04,,Codecov,01:40:00
SOS1920-04,,codecov,01:38:00
SOS1920-04,,Configurar para que salga la hora del servidor,00:35:01
SOS1920-04,,Creación de tareas e implementación de express,00:36:54
SOS1920-04,,Crear Milestone e issues,00:04:19
SOS1920-04,,D02,10:45:19
SOS1920-04,,D03,33:27:05
SOS1920-04,,Datos iniciales,00:20:15
SOS1920-04,,Error de despliegue Heroku,02:10:00
SOS1920-04,,Errores heroku,03:43:00
SOS1920-04,,Estadistica de roads,02:01:00
SOS1920-04,,Explicar a los compañeros lo realizado,00:13:33
SOS1920-04,,Extra,02:20:00
SOS1920-04,,Feedback 1,02:23:42
SOS1920-04,,Feedback 2,03:14:12
SOS1920-04,,front del roads,06:57:00
SOS1920-04,,Goorm y tareas varias,01:40:00
SOS1920-04,,Graficas externas,02:22:00
SOS1920-04,,Gráfica,01:57:00
SOS1920-04,,Gráficas,02:00:00
SOS1920-04,,Gráficas y extra,03:36:00
SOS1920-04,,Hacer Opcional,00:48:09
SOS1920-04,,Integraciones,10:00:00
SOS1920-04,,Integraciones externas y fallos varios,03:15:00
SOS1920-04,,Intento de Codecov,00:59:00
SOS1920-04,,Intento de gráfica con D3JS,04:23:00
SOS1920-04,,Mensajes de error,02:14:00
SOS1920-04,,Metodos API,05:06:28
SOS1920-04,,Mirar backlog y crear etiquetas Git,00:25:00
SOS1920-04,,Nedb,01:58:27
SOS1920-04,,Poner al dia ultimo laboratorio,01:42:44
SOS1920-04,,Postman,04:14:52
SOS1920-04,,postman,01:04:53
SOS1920-04,,Preparando backlog del jueves 05,02:13:05
SOS1920-04,,Realizacion de video,01:18:00
SOS1920-04,,Repasar que esté todo y leer Piazza,01:25:00
SOS1920-04,,Repaso antes de entregar,01:06:44
SOS1920-04,,Repaso backlog,01:15:50
SOS1920-04,,Revisar ficha,00:04:19
SOS1920-04,,Revisión final,02:08:00
SOS1920-04,,Svelte,06:37:00
SOS1920-04,,Trabajo goorm,04:02:24
SOS1920-04,,Trabajo Goorm y en Postman,03:34:28
SOS1920-04,,Tratado de errores,02:14:00
